종목,제목,링크,요약,날짜
삼성전자,"""스마트폰 다음은 글라스""… 삼성, '항상 연결된 AI' 구축",https://www.mediapen.com/news/view/1110338,"삼성전자가 첫 AI 글라스 공개를 앞두고 갤럭시 AI 생태계 확장에 속도를 내고 있다. 스마트폰 중심의 AI 경험을 워치와 링, 글라스 등 다양한 웨어러블 기기로 확장해 이용자가 하루 종일 자연스럽게 AI를 활용할 수 있는... ","Wed, 15 Jul 2026 15:26:00 +0900"
삼성전자,"삼성전자, 폴더블 혁신 집약체 ‘플렉스 티타늄’ 기술 공개",http://journal.kobeta.com/?post_type=post&p=63307,제공: 삼성전자 삼성전자가 7월 15일 차세대 갤럭시 폴더블 기기에 적용될 ‘플렉스 티타늄(Flex Titanium)’ 디스플레이 기술을 공개했다. 플렉스 티타늄 기술은 폴더블 혁신 노하우의 집약체로 디스플레이의 내구성을 한층... ,"Wed, 15 Jul 2026 15:26:00 +0900"
삼성전자,"삼성전자, 차세대 디스플레이 기술 ‘플렉스 티타늄’ 공개… 주름 줄이...",https://www.mediawatch.kr/news/article.html?no=260382,인싸잇=이서호 기자 | 삼성전자가 차세대 갤럭시 폴더블 제품에 적용될 새로운 디스플레이 기술을 공개했다. 티타늄 소재를 활용해 디스플레이 내구성을 높이고 화면 주름을 개선해 완성도 높은 시청 경험을 제공하는 것이... ,"Wed, 15 Jul 2026 15:24:00 +0900"
삼성전자,"반도체 초과 이익 논란, 산업부장관 “성과급 대신 재투자 필요”",https://www.mediawatch.kr/news/article.html?no=260381,산업부는 삼성전자 노사 간 임금 협상에서 언급된 ‘영업이익 N%’ 성과급 논란을 계기로 이번 토론회를 마련했다. 김 장관은 “한 시대의 횡재가 다음 시대의 경쟁력으로 이어지지 못하면 쌓았던 부는 결코 오래가지... ,"Wed, 15 Jul 2026 15:24:00 +0900"
삼성전자,"李대통령 ""삼전·닉스 레버리지 ETF 때문에 많이 당하신 듯"" 보완책 마련...",https://n.news.naver.com/mnews/article/123/0002386605?sid=100,"이재명 대통령이 최근 증시 변동성 확대의 원인으로 지목된 삼성전자·SK하이닉스 단일종목 레버리지 상장지수펀드(ETF)와 관련해 ""보완 대책을 잘 신속하게 마련하도록 하라""고 금융당국에 지시했다. 이 대통령은 15일... ","Wed, 15 Jul 2026 15:24:00 +0900"
SK하이닉스,"최태원, 제주포럼서 AI 성장 전략 밝힌다",https://www.newsway.co.kr/news/view?ud=2026071512365268546,SK하이닉스가 고대역폭메모리(HBM)를 앞세워 AI 반도체 공급망 핵심 기업으로 자리 잡은 경험은 AI 시대 경쟁력이 어디에서 만들어지는지를 보여주는 대표 사례다. SK하이닉스는 HBM 수요 확대에 힘입어 지난해 매출... ,"Wed, 15 Jul 2026 15:26:00 +0900"
SK하이닉스,"李대통령 ""삼전·닉스 레버리지 ETF 때문에 많이 당하신 듯"" 보완책 마련...",https://n.news.naver.com/mnews/article/123/0002386605?sid=100,"이재명 대통령이 최근 증시 변동성 확대의 원인으로 지목된 삼성전자·SK하이닉스 단일종목 레버리지 상장지수펀드(ETF)와 관련해 ""보완 대책을 잘 신속하게 마련하도록 하라""고 금융당국에 지시했다. 이 대통령은 15일... ","Wed, 15 Jul 2026 15:24:00 +0900"
SK하이닉스,"이재명 대통령, 단일종목 레버리지 ETF 보완 지시…""신속한 대책 마련""",https://www.industrynews.co.kr/news/articleView.html?idxno=83351,인더스트리뉴스 이주엽 기자  이재명 대통령이 최근 국내 증시 변동성을 키우는 요인으로 지목된 삼성전자·SK하이닉스 단일종목 레버리지 상장지수펀드(ETF)와 관련해 관계기관에 신속한 제도 보완을 주문했다. 15일... ,"Wed, 15 Jul 2026 15:24:00 +0900"
SK하이닉스,반도체 효과에 건설수주 50% 급증…민간 주택은 반토막,https://www.newspim.com/news/view/20260715001063,"용인 반도체 클러스터 1기 4단계 사업 3조9000억원과 SK하이닉스 청주 반도체 공장 증액분 1조9000억원, 포스코글로벌센터 건립 1조3000억원 등 대규모 사업이 한꺼번에 잡힌 영향이다. 민간 주택수주는 4조원으로... ","Wed, 15 Jul 2026 15:23:00 +0900"
SK하이닉스,대기업이 산 태양광 전기…1540개 마을 '햇빛소득'된다,https://n.news.naver.com/mnews/article/015/0005310301?sid=101,"이날 서울에서 열린 모의거래 행사에는 삼성전자, SK하이닉스 등 수요기업 20여 곳의 관계자가 참석했다. 에너지공단 관계자는 ""이번 플랫폼은 기존 민간 중개사업자의 비즈니스 영역을 침범하려는 목적이 아니라... ","Wed, 15 Jul 2026 15:23:00 +0900"
두산에너빌리티,"두산에너빌리티, 장중 2%대 상승…원전·가스터빈 성장 기대에 강세",https://www.job-post.co.kr/news/articleView.html?idxno=221251,"두산에너빌리티가 15일 장중 2%대 상승세를 보이며 7만2,000원대를 유지했다. 원자력발전과 가스터빈 사업을 중심으로 한 성장 기대감이 이어지면서 투자심리가 개선된 것으로 분석된다. 이날 오후 2시 41분 기준... ","Wed, 15 Jul 2026 14:44:00 +0900"
두산에너빌리티,"국립창원대 남해캠퍼스, 방산기계AI 전공 학생 대상 항공·방산기업 현...",https://www.newsgn.com/news/articleView.html?idxno=562538,"학생들은 사천 우주항공박물관에서 항공우주산업의 발전 과정을 살펴본 뒤, 항공기 부품 생산기업인 ㈜하나에어로다이내믹스와 발전설비 전문기업 두산에너빌리티, 항공정비(MRO) 전문기업 한국항공서비스㈜(KAEMS)... ","Wed, 15 Jul 2026 14:36:00 +0900"
두산에너빌리티,"국립창원대 남해캠퍼스, 방산기계AI과 '산업체 진로캠프'",https://n.news.naver.com/mnews/article/003/0014068686?sid=102,"학생들은 우주항공박물관과 ㈜하나에어로다이내믹스, 두산에너빌리티, 한국항공서비스(KAEMS) 등을 찾아 항공제조와 스마트제조 공정을 견학하고, 산업체 전문가 멘토링을 통해 직무역량과 진로 설계에 대한 이해를... ","Wed, 15 Jul 2026 14:24:00 +0900"
두산에너빌리티,[서울데이터랩]코스피 시총 상위주 장중 강세…반도체·지주사 급등에 ...,https://n.news.naver.com/mnews/article/081/0003661411?sid=101,"이 밖에 삼성물산(028260)은 36만 6500원으로 3.53%, 두산에너빌리티(034020)는 7만 3300원으로 3.39%, HD현대중공업(329180)은 46만 7000원으로 0.21% 상승했다. 시총 상위 20개 종목이 모두 상승세를 보인 가운데... ","Wed, 15 Jul 2026 13:34:00 +0900"
두산에너빌리티,"[AI시대, NEW 패권②] 전력 르네상스…AIDC, 중후장대 깨운다",https://theviewers.co.kr/View.aspx?No=4146090,두산에너빌리티는 원전과 가스터빈 기술을 앞세워 AI 시대 전력 인프라 확대의 수혜 후보로 꼽힌다. 전기를 생산한 이후 이를 전달하는 전력망 투자도 핵심이다. AI 데이터센터는 대규모 전력을 필요로 하는 만큼 초고압... ,"Wed, 15 Jul 2026 13:00:00 +0900"
KODEX200,ETF만 500조 시대…공고한 양강체계 속 승부처는 결국,https://n.news.naver.com/mnews/article/088/0001019117?sid=101,"최근 6개월간 순자산 증가 규모를 보면 삼성자산운용의 'KODEX 200'이 13조4344억원으로 가장 크게 늘었다. 이어 미래에셋자산운용의 'TIGER 반도체TOP10', 신한자산운용의 'SOL AI반도체TOP2플러스', 미래에셋자산운용의... ","Wed, 15 Jul 2026 10:17:00 +0900"
KODEX200,[뉴스워커_IB탈탈털기] 개인자금 5.5조 몰린 커버드콜 ETF…고분배 경쟁...,http://www.newsworker.co.kr/news/articleView.html?idxno=436472,'KODEX 200타겟위클리커버드콜' 한 종목에만 2조7602억원의 개인자금이 순유입됐다. 예금과 채권보다 높은 수준의 정기적인 현금흐름을 원하는 수요가 분배금을 매달 지급하는 커버드콜 ETF로 이동한 결과로 풀이된다.... ,"Wed, 15 Jul 2026 08:50:00 +0900"
KODEX200,◇단기간 지나치게 커진 'ETF 규모',http://www.econotelling.com/news/articleView.html?idxno=20895,"2026년 7월 10일 기준 삼성자산운용의 KODEX200 액티브 ETF의 경우 구성종목 수가 190개 이지만 순 자산 총액(1조1767억원)의 33.26%를 삼성전자에, 30.53%는 SK하이닉스에 투자하고 있는 현실이다. 하나자산운용의 1Q200... ","Wed, 15 Jul 2026 08:12:00 +0900"
KODEX200,몸집 5배 커졌는데...미래에셋운용 점유율 발목잡은 '파생·채권',https://www.ngetnews.com/news/articleView.html?idxno=551536,올해 연초 이후 KODEX 200타겟위클리커버드콜 순자산은 약 3조7000억원 늘었고 KODEX 코스닥150레버리지도 1조700억원 증가했다. 지난 5월 상장한 삼성전자·SK하이닉스 단일종목 레버리지 ETF 2종은 지난 13일 기준 합산... ,"Wed, 15 Jul 2026 06:16:00 +0900"
KODEX200,"""시장 따라 옵션 매도 조절""…삼성운용, 액티브 커버드콜 ETF 상장",https://www.apnews.kr/news/articleView.html?idxno=3049778,삼성자산운용은 'KODEX 200커버드콜액티브 ETF'를 신규 상장했다고 14일 밝혔다. 최근 국내 증시에서 일부 산업과 대형주 중심으로 상승세가 집중되는 가운데 기존 지수 추종형 커버드콜 전략의 한계를 액티브 운용으로... ,"Tue, 14 Jul 2026 23:02:00 +0900"
